#Iter,info,#NNZ in L,#NNZ in U,LU MB,Total MB,Norm,RPG,RCN,dgssvx
0,0,383366,578925,10.441,21.728,9.54953E-09,0.2809123,3.707492E-07,306459
1,0,383366,578925,10.441,21.728,9.54953E-09,0.2809123,3.707492E-07,296959
2,0,383366,578925,10.441,21.728,9.54953E-09,0.2809123,3.707492E-07,294162
3,0,383366,578925,10.441,21.728,9.54953E-09,0.2809123,3.707492E-07,293189
4,0,383366,578925,10.441,21.728,9.54953E-09,0.2809123,3.707492E-07,295620
5,0,383366,578925,10.441,21.728,9.54953E-09,0.2809123,3.707492E-07,294064
6,0,383366,578925,10.441,21.728,9.54953E-09,0.2809123,3.707492E-07,295623
7,0,383366,578925,10.441,21.728,9.54953E-09,0.2809123,3.707492E-07,295650
8,0,383366,578925,10.441,21.728,9.54953E-09,0.2809123,3.707492E-07,297720
9,0,383366,578925,10.441,21.728,9.54953E-09,0.2809123,3.707492E-07,291420
10,0,383366,578925,10.441,21.728,9.54953E-09,0.2809123,3.707492E-07,292519
