#Iter,info,#NNZ in L,#NNZ in U,LU MB,Total MB,Norm,RPG,RCN,dgssvx
0,0,2030550,3209901,56.612,101.349,8.209262E-09,0.1510488,3.638779E-07,1001685
1,0,2030550,3209901,56.612,101.349,8.209262E-09,0.1510488,3.638779E-07,976149
2,0,2030550,3209901,56.612,101.349,8.209262E-09,0.1510488,3.638779E-07,967032
3,0,2030550,3209901,56.612,101.349,8.209262E-09,0.1510488,3.638779E-07,972462
4,0,2030550,3209901,56.612,101.349,8.209262E-09,0.1510488,3.638779E-07,962073
5,0,2030550,3209901,56.612,101.349,8.209262E-09,0.1510488,3.638779E-07,966692
6,0,2030550,3209901,56.612,101.349,8.209262E-09,0.1510488,3.638779E-07,968162
7,0,2030550,3209901,56.612,101.349,8.209262E-09,0.1510488,3.638779E-07,963593
8,0,2030550,3209901,56.612,101.349,8.209262E-09,0.1510488,3.638779E-07,963996
9,0,2030550,3209901,56.612,101.349,8.209262E-09,0.1510488,3.638779E-07,969682
10,0,2030550,3209901,56.612,101.349,8.209262E-09,0.1510488,3.638779E-07,962792
