#MPI Procs,nrow,ncol,#Iter,INFO,Norm,pdgssvx_Abglobal
1,1,1,0,0,8.209262E-09,3414047
1,1,1,1,0,8.209262E-09,3396373
1,1,1,2,0,8.209262E-09,3400800
1,1,1,3,0,8.209262E-09,3402359
1,1,1,4,0,8.209262E-09,3403425
2,1,2,0,0,8.209262E-09,2657603
2,1,2,1,0,8.209262E-09,2624654
2,1,2,2,0,8.209262E-09,2627880
2,1,2,3,0,8.209262E-09,2629201
2,1,2,4,0,8.209262E-09,2639563
3,1,3,0,0,8.209262E-09,2077778
3,1,3,1,0,8.209262E-09,2030681
3,1,3,2,0,8.209262E-09,2032293
3,1,3,3,0,8.209262E-09,2032093
3,1,3,4,0,8.209262E-09,2031842
4,1,4,0,0,8.209262E-09,1994545
4,1,4,1,0,8.209262E-09,1950592
4,1,4,2,0,8.209262E-09,1957129
4,1,4,3,0,8.209262E-09,1960156
4,1,4,4,0,8.209262E-09,1954882
2,2,1,0,0,8.209262E-09,2794521
2,2,1,1,0,8.209262E-09,2762356
2,2,1,2,0,8.209262E-09,2760438
2,2,1,3,0,8.209262E-09,2763773
2,2,1,4,0,8.209262E-09,2777224
4,2,2,0,0,8.209262E-09,2303658
4,2,2,1,0,8.209262E-09,2274830
4,2,2,2,0,8.209262E-09,2284963
4,2,2,3,0,8.209262E-09,2286618
4,2,2,4,0,8.209262E-09,2282279
6,2,3,0,0,8.209262E-09,1705584
6,2,3,1,0,8.209262E-09,1646380
6,2,3,2,0,8.209262E-09,1663942
6,2,3,3,0,8.209262E-09,1666775
6,2,3,4,0,8.209262E-09,1666800
8,2,4,0,0,8.209262E-09,1649154
8,2,4,1,0,8.209262E-09,1616066
8,2,4,2,0,8.209262E-09,1613773
8,2,4,3,0,8.209262E-09,1622405
8,2,4,4,0,8.209262E-09,1634796
3,3,1,0,0,8.209262E-09,2221417
3,3,1,1,0,8.209262E-09,2187518
3,3,1,2,0,8.209262E-09,2195790
3,3,1,3,0,8.209262E-09,2189602
3,3,1,4,0,8.209262E-09,2196968
6,3,2,0,0,8.209262E-09,1754485
6,3,2,1,0,8.209262E-09,1738924
6,3,2,2,0,8.209262E-09,1740154
6,3,2,3,0,8.209262E-09,1737594
6,3,2,4,0,8.209262E-09,1735983
9,3,3,0,0,8.209262E-09,1555399
9,3,3,1,0,8.209262E-09,1535199
9,3,3,2,0,8.209262E-09,1537221
9,3,3,3,0,8.209262E-09,1528801
9,3,3,4,0,8.209262E-09,1540816
12,3,4,0,0,8.209262E-09,1376361
12,3,4,1,0,8.209262E-09,1337768
12,3,4,2,0,8.209262E-09,1330981
12,3,4,3,0,8.209262E-09,1329939
12,3,4,4,0,8.209262E-09,1332063
4,4,1,0,0,8.209262E-09,2092424
4,4,1,1,0,8.209262E-09,2055879
4,4,1,2,0,8.209262E-09,2052903
4,4,1,3,0,8.209262E-09,2037036
4,4,1,4,0,8.209262E-09,2042901
8,4,2,0,0,8.209262E-09,1728450
8,4,2,1,0,8.209262E-09,1692626
8,4,2,2,0,8.209262E-09,1711727
8,4,2,3,0,8.209262E-09,1685230
8,4,2,4,0,8.209262E-09,1681852
12,4,3,0,0,8.209262E-09,1386750
12,4,3,1,0,8.209262E-09,1330756
12,4,3,2,0,8.209262E-09,1321944
12,4,3,3,0,8.209262E-09,1315399
12,4,3,4,0,8.209262E-09,1317062
16,4,4,0,0,8.209262E-09,1364554
16,4,4,1,0,8.209262E-09,1336077
16,4,4,2,0,8.209262E-09,1329263
16,4,4,3,0,8.209262E-09,1311497
16,4,4,4,0,8.209262E-09,1317956
