#MPI Procs,nrow,ncol,#Iter,INFO,Norm,pdgssvx_Abglobal
1,1,1,0,0,8.209262E-09,2458329
1,1,1,1,0,8.209262E-09,2445989
1,1,1,2,0,8.209262E-09,2445644
1,1,1,3,0,8.209262E-09,2443143
1,1,1,4,0,8.209262E-09,2441970
2,1,2,0,0,8.209262E-09,2065314
2,1,2,1,0,8.209262E-09,2039350
2,1,2,2,0,8.209262E-09,2038270
2,1,2,3,0,8.209262E-09,2038070
2,1,2,4,0,8.209262E-09,2038503
3,1,3,0,0,8.209262E-09,1836312
3,1,3,1,0,8.209262E-09,1798517
3,1,3,2,0,8.209262E-09,1799327
3,1,3,3,0,8.209262E-09,1802305
3,1,3,4,0,8.209262E-09,1804862
4,1,4,0,0,8.209262E-09,1716321
4,1,4,1,0,8.209262E-09,1676657
4,1,4,2,0,8.209262E-09,1685983
4,1,4,3,0,8.209262E-09,1684518
4,1,4,4,0,8.209262E-09,1682507
2,2,1,0,0,8.209262E-09,2166887
2,2,1,1,0,8.209262E-09,2139794
2,2,1,2,0,8.209262E-09,2139590
2,2,1,3,0,8.209262E-09,2139941
2,2,1,4,0,8.209262E-09,2139408
4,2,2,0,0,8.209262E-09,1785407
4,2,2,1,0,8.209262E-09,1752980
4,2,2,2,0,8.209262E-09,1767690
4,2,2,3,0,8.209262E-09,1770213
4,2,2,4,0,8.209262E-09,1763183
6,2,3,0,0,8.209261E-09,1503713
6,2,3,1,0,8.209262E-09,1468734
6,2,3,2,0,8.209262E-09,1464399
6,2,3,3,0,8.209262E-09,1459071
6,2,3,4,0,8.209262E-09,1460493
8,2,4,0,0,8.209262E-09,1442698
8,2,4,1,0,8.209262E-09,1416796
8,2,4,2,0,8.209262E-09,1413836
8,2,4,3,0,8.209262E-09,1414896
8,2,4,4,0,8.209262E-09,1416698
3,3,1,0,0,8.209261E-09,1928993
3,3,1,1,0,8.209261E-09,1885947
3,3,1,2,0,8.209261E-09,1890226
3,3,1,3,0,8.209261E-09,1894077
3,3,1,4,0,8.209261E-09,1895923
6,3,2,0,0,8.209262E-09,1529487
6,3,2,1,0,8.209262E-09,1495605
6,3,2,2,0,8.209262E-09,1497226
6,3,2,3,0,8.209262E-09,1489844
6,3,2,4,0,8.209262E-09,1488187
9,3,3,0,0,8.209262E-09,1493891
9,3,3,1,0,8.209262E-09,1469752
9,3,3,2,0,8.209262E-09,1470479
9,3,3,3,0,8.209262E-09,1474701
9,3,3,4,0,8.209262E-09,1472039
12,3,4,0,0,8.209262E-09,1302871
12,3,4,1,0,8.209262E-09,1268653
12,3,4,2,0,8.209262E-09,1261679
12,3,4,3,0,8.209262E-09,1263855
12,3,4,4,0,8.209262E-09,1262743
4,4,1,0,0,8.209262E-09,1790046
4,4,1,1,0,8.209262E-09,1756210
4,4,1,2,0,8.209262E-09,1754675
4,4,1,3,0,8.209262E-09,1736629
4,4,1,4,0,8.209262E-09,1752665
8,4,2,0,0,8.209262E-09,1521777
8,4,2,1,0,8.209262E-09,1498678
8,4,2,2,0,8.209262E-09,1499019
8,4,2,3,0,8.209262E-09,1494582
8,4,2,4,0,8.209262E-09,1491362
12,4,3,0,0,8.209262E-09,1312449
12,4,3,1,0,8.209262E-09,1270664
12,4,3,2,0,8.209262E-09,1300266
12,4,3,3,0,8.209262E-09,1255277
12,4,3,4,0,8.209262E-09,1255961
16,4,4,0,0,8.209262E-09,1217341
16,4,4,1,0,8.209262E-09,1191547
16,4,4,2,0,8.209262E-09,1191544
16,4,4,3,0,8.209262E-09,1181319
16,4,4,4,0,8.209262E-09,1181791
