#Threads,#Iter,info,#NNZ in L,#NNZ in U,LU MB,Total MB,Norm,RPG,RCN,pdgssvx
1,0,0,15620992,15041961,482.111,535.393,8.209262E-09,0.110148,3.638779E-07,27549783
1,1,0,15620992,15041961,482.111,535.393,8.209262E-09,0.110148,3.638779E-07,27495957
1,2,0,15620992,15041961,482.111,535.393,8.209262E-09,0.110148,3.638779E-07,27532991
1,3,0,15620992,15041961,482.111,535.393,8.209262E-09,0.110148,3.638779E-07,27472827
1,4,0,15620992,15041961,482.111,535.393,8.209262E-09,0.110148,3.638779E-07,27486067
1,5,0,15620992,15041961,482.111,535.393,8.209262E-09,0.110148,3.638779E-07,27515215
1,6,0,15620992,15041961,482.111,535.393,8.209262E-09,0.110148,3.638779E-07,27527053
1,7,0,15620992,15041961,482.111,535.393,8.209262E-09,0.110148,3.638779E-07,27467002
1,8,0,15620992,15041961,482.111,535.393,8.209262E-09,0.110148,3.638779E-07,27539435
1,9,0,15620992,15041961,482.111,535.393,8.209262E-09,0.110148,3.638779E-07,27475668
1,10,0,15620992,15041961,482.111,535.393,8.209262E-09,0.110148,3.638779E-07,27531423
